Name,url svg,url gif,url webp,url littie.json
Light-bulb,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4a1/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4a1/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4a1/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4a1/lottie.json
Graduation-cap,https://fonts.gstatic.com/s/e/notoemoji/latest/1f393/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f393/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f393/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f393/lottie.json
Umbrella,https://fonts.gstatic.com/s/e/notoemoji/latest/2602_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2602_fe0f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2602_fe0f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2602_fe0f/lottie.json
Gem-stone,https://fonts.gstatic.com/s/e/notoemoji/latest/1f48e/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f48e/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f48e/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f48e/lottie.json
Gear,https://fonts.gstatic.com/s/e/notoemoji/latest/2699_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2699_fe0f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2699_fe0f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2699_fe0f/lottie.json
Pencil,https://fonts.gstatic.com/s/e/notoemoji/latest/270f_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/270f_fe0f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/270f_fe0f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/270f_fe0f/lottie.json
Alarm-clock,https://fonts.gstatic.com/s/e/notoemoji/latest/23f0/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/23f0/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/23f0/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/23f0/lottie.json
Bellhop-bell,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6ce_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6ce_fe0f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6ce_fe0f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f6ce_fe0f/lottie.json
Bell,https://fonts.gstatic.com/s/e/notoemoji/latest/1f514/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f514/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f514/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f514/lottie.json
Crystal-ball,https://fonts.gstatic.com/s/e/notoemoji/latest/1f52e/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f52e/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f52e/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f52e/lottie.json
Aries,https://fonts.gstatic.com/s/e/notoemoji/latest/2648/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2648/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2648/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2648/lottie.json
Aries,https://fonts.gstatic.com/s/e/notoemoji/latest/2648/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2648/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2648/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2648/lottie.json
Taurus,https://fonts.gstatic.com/s/e/notoemoji/latest/2649/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2649/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2649/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2649/lottie.json
